,0
411,0.711555719376
412,1.00421273708
413,0.890072226524
414,1.19616937637
415,0.95780056715
416,1.10122621059
417,0.776697516441
418,2.42537426949
419,1.71089363098
420,0.953584313393
421,0.832995593548
422,0.297515004873
423,1.40353107452
424,1.52448117733
425,0.708619117737
426,1.3563439846
427,0.772857964039
428,1.034522295
429,0.892989933491
430,2.3717508316
431,0.782351791859
432,0.58293992281
433,0.92104357481
434,1.01514434814
435,0.881929576397
436,1.24957919121
437,1.65466248989
438,0.366039663553
439,1.12061429024
440,1.13699841499
441,1.03230321407
442,1.06949615479
443,0.375448852777
444,1.45236110687
445,0.858824074268
446,0.926187634468
447,1.24381303787
448,0.772135555744
449,1.45858335495
450,0.791236758232
451,0.779441714287
452,0.369432508945
453,1.04309237003
454,1.03718447685
455,0.926036000252
456,1.36428320408
457,0.883521556854
458,1.26926589012
459,0.187582701445
460,0.600525796413
461,0.873932540417
462,0.990476965904
463,1.11343860626
464,1.11577272415
465,1.32488441467
466,0.929734349251
467,1.50086915493
468,0.71316587925
469,1.10702073574
470,1.66857647896
471,0.876935124397
472,1.09583353996
473,1.48319268227
474,0.997039318085
475,1.09227216244
476,0.780470490456
477,1.10027050972
478,1.29438471794
479,0.870393753052
480,0.988505542278
481,0.717264354229
482,0.755748689175
483,1.13471639156
484,1.25944721699
485,1.1040365696
486,1.19590687752
487,1.27438628674
488,1.00322175026
489,0.789838373661
490,1.18745350838
491,1.13628315926
492,1.00830245018
493,1.78050899506
494,0.677137851715
495,0.538493037224
496,0.930423259735
497,0.778199076653
498,0.739929378033
499,1.76735270023
500,0.95467042923
501,1.29257774353
502,0.776140451431
503,2.23832368851
504,1.61646914482
505,0.333390593529
506,1.47613024712
507,0.678985476494
508,1.18731915951
509,1.64043927193
510,1.19717228413
511,1.24333631992
512,1.13144421577
513,0.649914503098
514,0.656031250954
515,0.888430297375
516,1.08043837547
517,1.52348649502
518,1.24177527428
519,0.742227911949
520,1.20038199425
521,1.27292835712
522,1.11876726151
523,1.27392458916
524,1.44230866432
525,0.863616585732
526,1.31767857075
527,0.572617053986
528,1.44747936726
529,0.334401994944
530,0.81440103054
531,1.46530425549
532,0.641288876534
533,1.38212633133
534,1.11848473549
535,0.793324589729
536,1.18540263176
537,0.92550599575
538,0.811277210712
539,1.0342925787
540,1.73286414146
541,1.16823601723
542,1.52070665359
543,0.938251793385
544,0.445725023746
545,1.1776034832
546,1.35249650478
547,1.62185192108
548,1.24312150478
549,1.19110262394
550,0.247215747833
551,0.805396854877
552,0.53830909729
553,0.419658750296
554,0.937853634357
555,0.826385498047
556,0.363104999065
557,0.195060923696
558,1.28949594498
559,0.621724247932
560,0.655822753906
561,1.22787082195
562,0.917326450348
563,0.734532654285
564,0.687591850758
565,1.3307710886
566,0.741565048695
567,1.11633360386
568,0.40321174264
569,0.714041233063
570,1.03704810143
571,0.967087626457
572,1.74893474579
573,1.03455650806
574,1.15186655521
575,1.32935011387
576,1.09107744694
577,0.90262567997
578,0.686398625374
579,0.798285126686
580,0.381666094065
581,1.17073023319
582,1.08314192295
583,1.88348710537
584,0.648285508156
585,1.27248346806
586,1.24009239674
587,0.658125758171
588,1.35197985172
589,0.742814064026
590,1.06526434422
591,0.501405000687
592,0.847887217999
593,1.08082485199
594,1.0678242445
595,0.897983551025
596,0.688341140747
597,1.08205258846
598,0.838960051537
599,0.239400103688
600,0.684514164925
601,1.63600790501
602,0.969842255116
603,1.38971054554
604,0.791949510574
605,1.61038279533
606,0.797729194164
607,0.799327254295
608,0.190977185965
609,0.273439377546
610,0.644031524658
611,1.02657830715
612,0.0102527011186
613,0.909696102142
614,1.25068974495
615,1.28462314606
616,1.27035546303
617,1.77340245247
618,0.72842168808
619,0.736195206642
620,1.34723985195
621,1.17020118237
622,0.976667582989
623,0.761149764061
624,1.23531520367
625,1.17092323303
626,1.31975674629
627,0.669846832752
628,0.898829817772
629,0.636848092079
630,0.795570790768
631,0.982915997505
632,0.954089641571
633,0.738627314568
634,0.352837383747
635,0.411432564259
636,1.02356266975
637,1.11903822422
638,1.11895358562
639,1.21113610268
640,0.968808948994
641,1.01857125759
642,0.719766438007
643,0.861311137676
644,1.45435655117
645,1.05386137962
646,1.14295423031
647,1.19204926491
648,0.426127195358
649,1.31415486336
650,0.562849581242
651,0.854225277901
652,1.06153464317
653,1.07932698727
654,0.931989312172
655,0.673906624317
656,1.23882639408
657,1.19811415672
658,1.2653785944
659,0.675812542439
660,0.959037125111
661,1.3139551878
662,0.779517352581
663,1.28252291679
664,1.52502274513
665,1.21809601784
666,0.682712674141
667,0.911124408245
668,1.15811026096
669,1.31096744537
670,1.41648685932
671,0.451254069805
672,1.05718708038
673,0.787285089493
674,0.738951325417
675,0.708363413811
676,1.15245342255
677,0.652092397213
678,1.136713624
679,0.976328849792
680,1.02994501591
681,1.24076628685
682,1.84442877769
683,1.36049151421
684,1.68797564507
685,0.797426104546
686,0.99661052227
687,0.973962664604
688,0.728422164917
689,0.298993885517
690,0.209621980786
691,1.15915691853
692,2.44992780685
693,1.17102432251
694,1.28353905678
695,1.23315346241
696,1.47057914734
697,1.02165913582
698,0.624136865139
699,0.605783641338
700,1.95413184166
701,0.691617131233
702,0.978272080421
703,1.20430338383
704,1.59028875828
705,0.701677918434
706,0.832509875298
707,0.474390596151
708,1.59431290627
709,1.75900197029
710,0.536578178406
711,0.769702255726
712,1.00897884369
713,0.829474449158
714,1.2817928791
715,0.577641010284
716,0.576296806335
717,0.864027380943
718,1.19798469543
719,0.663862168789
720,0.880184948444
721,0.940282642841
722,1.4018651247
723,1.20539689064
724,1.42834544182
725,0.951279461384
726,0.899860262871
727,0.727164566517
728,1.50526762009
729,1.10494303703
730,1.41789984703
731,0.57043170929
732,0.594687104225
733,2.15697574615
734,0.701839923859
735,0.788864135742
736,1.36307501793
737,1.39762461185
738,0.770162343979
739,0.348950058222
740,0.991081893444
741,0.893728256226
742,0.84284389019
743,0.836388230324
744,1.55609917641
745,0.487318664789
746,1.47838187218
747,1.46798825264
748,1.37371504307
749,1.09186148643
750,0.93901270628
751,1.70516777039
752,0.840444564819
753,1.25461935997
754,1.13256299496
755,1.47546327114
756,0.733452141285
757,1.35858654976
758,0.499550044537
759,0.77008408308
760,1.03041553497
761,0.702835261822
762,1.14827132225
763,1.33564257622
764,1.03566348553
765,0.904436707497
766,0.798623919487
767,1.05346226692
768,0.92828142643
769,1.12100470066
770,2.06775522232
771,0.754429161549
772,0.742934346199
773,0.528493106365
774,0.761098742485
775,1.10442185402
776,1.53540408611
777,0.774599671364
778,0.402456671
779,0.669015049934
780,1.08461844921
781,0.803372681141
782,1.11749005318
783,0.998167216778
784,1.05672287941
785,0.999332785606
786,1.23518657684
787,0.588973164558
788,1.46027100086
789,1.19322109222
790,1.60622441769
791,1.1602755785
792,0.644741773605
793,1.35947108269
794,1.48324084282
795,1.10264134407
796,0.820804417133
797,0.666104495525
798,0.980597853661
799,0.802317321301
800,1.05393910408
801,1.27907562256
802,1.10557687283
803,1.22964823246
804,0.552366495132
805,1.17206025124
806,1.1902307272
807,0.561615347862
808,0.805903553963
809,1.86890006065
810,1.31242501736
811,1.50077414513
812,1.15000426769
813,1.58532297611
814,0.562820971012
815,1.3092559576
816,1.49196517467
817,1.55822145939
818,1.27755391598
819,0.822858929634
820,1.41385805607
821,0.596653461456
822,1.39527380466
823,1.15619039536
824,1.06668663025
825,1.56516945362
826,1.14974522591
827,1.24274134636
828,1.73365712166
829,0.666424751282
830,1.74782371521
831,1.60563886166
832,1.29051554203
833,0.656658411026
834,0.563831210136
835,2.66246724129
836,1.23674619198
837,0.793930590153
838,0.982539176941
839,0.386750161648
840,1.20956778526
841,0.688560307026
842,1.41265940666
843,1.79810869694
844,1.0174318552
845,0.632487654686
846,0.76541185379
847,0.769975304604
848,0.821503818035
849,1.05494749546
850,0.569864392281
851,1.35334849358
852,0.891447842121
853,1.13304769993
854,1.09542965889
855,0.604406714439
856,0.903836607933
857,0.885698318481
858,0.909016609192
859,1.29367923737
860,0.629891216755
861,1.923822999
862,1.83421397209
863,1.32235074043
864,1.33993828297
865,0.76381534338
866,1.11372339725
867,2.0488243103
868,0.889051735401
869,0.929514706135
870,0.382999181747
871,0.887678802013
872,1.62173330784
873,1.21605682373
874,0.500583171844
875,0.391008019447
876,1.2676872015
877,0.675027728081
878,1.00105714798
879,0.890806019306
880,1.29163515568
881,1.10713350773
882,1.40597307682
883,1.26096284389
884,1.30890631676
885,1.08227002621
886,0.754721939564
887,1.45414209366
888,0.84175568819
889,1.46807551384
890,0.817938923836
891,1.15756917
892,0.956722140312
893,1.49290776253
894,1.21137690544
895,1.14682662487
896,1.39558780193
897,0.676971793175
898,1.16074442863
899,0.761924088001
900,0.596795320511
901,1.4807369709
902,1.57255017757
903,0.805603504181
904,0.85859644413
905,1.10078454018
906,1.22678148746
907,0.903261005878
908,0.914138436317
909,1.27138590813
910,0.956018447876
911,1.01459574699
912,1.13785028458
913,1.40499746799
914,0.704821705818
915,1.08177506924
916,1.61464941502
917,1.42552912235
918,0.729856610298
919,1.16249489784
920,1.18008255959
921,0.86213093996
922,1.07232320309
923,1.12201917171
924,0.684225440025
925,0.980128288269
926,1.41675341129
927,1.39320981503
928,1.69985389709
929,1.47001123428
930,1.06514191628
931,1.28738462925
932,1.14756286144
933,1.42178153992
934,1.08158671856
935,0.732756197453
936,0.841178297997
937,2.11303782463
938,0.864769339561
939,0.953414082527
940,1.02788794041
941,1.09137117863
942,0.153922915459
943,1.1687400341
944,1.43005645275
945,1.36296772957
946,0.881461977959
947,1.42060256004
948,1.41772329807
949,0.320059895515
950,1.08789372444
951,0.315477460623
952,0.999331951141
953,0.533091902733
954,0.585855841637
955,0.80723464489
956,0.958824336529
957,0.654847621918
958,1.80627787113
959,1.09256887436
960,1.43847167492
961,1.01424765587
962,1.32842826843
963,0.883948028088
964,1.07625210285
965,1.18680024147
966,0.654272377491
967,0.847983360291
968,2.03814029694
969,0.679462015629
970,0.305218756199
971,1.6270377636
972,1.01928198338
973,1.11030650139
974,0.446953952312
975,0.905970215797
976,0.949004292488
977,0.374168217182
978,0.622741818428
979,0.875172793865
980,1.28350865841
981,0.874671459198
982,0.615237176418
983,0.845273971558
984,2.33154654503
985,0.604879677296
986,0.829821586609
987,0.56802636385
988,0.749489426613
989,0.967625439167
990,0.750856757164
991,1.31993710995
992,0.818683743477
993,0.847188949585
994,0.879020035267
995,0.680679142475
996,0.866751849651
997,0.860311806202
998,0.86235255003
999,1.31044888496
1000,0.611296355724
1001,1.44044852257
1002,0.909602165222
1003,1.6876103878
1004,1.10678768158
1005,0.971601605415
1006,0.985576987267
1007,0.682330489159
1008,1.14154982567
1009,1.03030323982
1010,0.888335347176
1011,0.944530844688
1012,0.93605452776
1013,0.937616527081
1014,1.47546422482
1015,1.09681689739
1016,1.90686678886
1017,1.46243643761
